StateRank,state_2020-01-01,state_2020-06-07,state_2020-09-13,state_2021-03-14,state_2021-06-27,state_2021-10-31,state_2022-03-27,deathrate_2020-01-01,deathrate_2020-06-07,deathrate_2020-09-13,deathrate_2021-03-14,deathrate_2021-06-27,deathrate_2021-10-31,deathrate_2022-03-27
43,WY,,,NE,PR,FL,HI,0,,,7.48376100227415e-05,0.000206577817772006,0.000493208549093192,0.000227890629720781
44,,,,UT,MD,DC,RI,,,,6.43850597912607e-05,0.000203399327454294,0.000480504090147172,0.000203451457896565
45,,,,MT,NJ,CA,UT,,,,5.78470415757534e-05,0.000172830915372727,0.000461911872311298,0.000202634264427747
46,,,,SD,NH,AK,MT,,,,4.90907610072085e-05,0.000148469110497054,0.000435978078866488,0.000149107588101612
47,,,,NH,MA,UT,SD,,,,3.60361918682171e-05,0.000130149653508727,0.000432021753066203,0.000145669339661857
48,,,,ND,CT,WA,VT,,,,3.34197963449026e-05,0.000127091917703266,0.000431494622725674,0.000105021852311376
49,,,,AK,NY,NY,ND,,,,3.12957956139623e-05,0.000122339863464885,0.000392235069256624,9.69111384860373e-05
50,,,,HI,DC,VT,DC,,,,0,0.000121069537260271,0.000330704840631395,5.0039490748666e-05
51,,,,VT,RI,PR,WY,,,,0,0.000119406576659022,0.0002847118765658,1.88291932996522e-05
52,,,,WY,VT,HI,AK,,,,0,9.11770023783289e-05,0.000231534871201548,0
